Partido,Total de Votos,Quantidade de Candidaturas,media_votos
PSD,720375,2548,282.7217425431711
PV,22759,147,154.8231292517007
PL,374361,2548,146.9234693877551
PSOL,183086,1519,120.53061224489795
PC do B,11120,98,113.46938775510205
PT,197245,2205,89.45351473922902
REDE,12648,147,86.04081632653062
REPUBLICANOS,170779,2450,69.70571428571428
PP,168820,2499,67.55502200880352
MDB,166311,2499,66.55102040816327
UNIÃO,100946,2058,49.05053449951409
SOLIDARIEDADE,98546,2450,40.222857142857144
PODE,96427,2548,37.84419152276295
PRD,80051,2499,32.033213285314126
UP,6221,196,31.739795918367346
PDT,71685,2548,28.133830455259027
PSB,61534,2352,26.162414965986393
NOVO,65585,2548,25.739795918367346
AGIR,53893,2156,24.996753246753247
PSDB,35615,1519,23.446346280447663
DC,51613,2303,22.411202778983935
AVANTE,32645,2303,14.174989144594008
MOBILIZA,35306,2499,14.128051220488196
PMB,24796,2401,10.327363598500625
CIDADANIA,10213,1029,9.92517006802721
PSTU,1644,245,6.710204081632653
PCB,1124,245,4.587755102040816
PCO,224,294,0.7619047619047619
