Partido,Total de Votos,%_votos_partido
PSD,720375,25.23
PL,374361,13.11
PT,197245,6.91
PSOL,183086,6.41
REPUBLICANOS,170779,5.98
PP,168820,5.91
MDB,166311,5.82
UNIÃO,100946,3.54
SOLIDARIEDADE,98546,3.45
PODE,96427,3.38
PRD,80051,2.8
PDT,71685,2.51
NOVO,65585,2.3
PSB,61534,2.15
AGIR,53893,1.89
DC,51613,1.81
PSDB,35615,1.25
MOBILIZA,35306,1.24
AVANTE,32645,1.14
PMB,24796,0.87
PV,22759,0.8
REDE,12648,0.44
PC do B,11120,0.39
CIDADANIA,10213,0.36
UP,6221,0.22
PSTU,1644,0.06
PCB,1124,0.04
PCO,224,0.01
